gpu_type,gpu_count,containerized,molecule,scf_time,gradient_time,total_time,system,datetime
NVIDIA-A100-80GB-PCIe,1,TRUE,taxol,33.022493000,50.690760000,94.835815000,nrp,Fri Dec 15 16:47:04 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,taxol,19.219826000,26.281984000,57.190450000,nrp,Fri Dec 15 16:48:40 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,taxol,12.300355000,14.025403000,38.540177000,nrp,Fri Dec 15 16:49:37 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,valinomycin,69.130751000,91.832810000,177.117608000,nrp,Fri Dec 15 16:50:16 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,valinomycin,39.761819000,47.712884000,104.265216000,nrp,Fri Dec 15 16:53:14 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,valinomycin,23.541542000,25.404821000,66.433397000,nrp,Fri Dec 15 16:54:59 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,morphine,6.622685000,8.243781000,22.657982000,nrp,Fri Jan  5 00:32:16 2024
NVIDIA-A100-80GB-PCIe,2,TRUE,morphine,4.138404000,4.549372000,16.610316000,nrp,Fri Jan  5 00:32:39 2024
NVIDIA-A100-80GB-PCIe,4,TRUE,morphine,2.855694000,2.693877000,13.598897000,nrp,Fri Jan  5 00:32:57 2024
NVIDIA-A100-80GB-PCIe,1,TRUE,psb5,1.237073000,1.329790000,9.494654000,nrp,Fri Jan  5 00:31:47 2024
NVIDIA-A100-80GB-PCIe,2,TRUE,psb5,0.821518000,0.778290000,8.607994000,nrp,Fri Jan  5 00:31:57 2024
NVIDIA-A100-80GB-PCIe,4,TRUE,psb5,0.752516000,0.568650000,8.537011000,nrp,Fri Jan  5 00:32:06 2024
NVIDIA-A100-80GB-PCIe,1,TRUE,taxol,32.826639000,50.668244000,94.558451000,nrp,Fri Jan  5 00:33:12 2024
NVIDIA-A100-80GB-PCIe,2,TRUE,taxol,19.203120000,26.299321000,56.845212000,nrp,Fri Jan  5 00:34:47 2024
NVIDIA-A100-80GB-PCIe,4,TRUE,taxol,12.164170000,14.029367000,37.920838000,nrp,Fri Jan  5 00:35:45 2024
NVIDIA-A100-80GB-PCIe,1,TRUE,valinomycin,69.001290000,91.850884000,176.816516000,nrp,Fri Jan  5 00:36:24 2024
NVIDIA-A100-80GB-PCIe,2,TRUE,valinomycin,39.791626000,47.677981000,104.002439000,nrp,Fri Jan  5 00:39:21 2024
NVIDIA-A100-80GB-PCIe,4,TRUE,valinomycin,23.459494000,25.365480000,65.911101000,nrp,Fri Jan  5 00:41:06 2024
